Transaction Date,Description,Amount,Category
07/21/2017,OBAO,-30.33,Restaurant
06/06/2017,Payment Thank You-Mobile,6.0,Credit/Card Payment
05/25/2017,Payment Thank You - Web,101.18,Credit/Card Payment
05/23/2017,FAIRWAY MKT ES,-6.0,Grocery
05/18/2017,TRADER JOE'S #542  QPS,-10.96,Grocery
05/09/2017,TRADER JOE'S #542  QPS,-14.95,Grocery
05/07/2017,WHOLEFDS UES #10518,-41.34,Grocery
05/02/2017,Dos Toros,-9.75,Restaurant
05/01/2017,WHOLEFDS UES #10518,-5.25,Grocery
04/30/2017,PAPYRUS #2213,-10.78,Shopping/General
04/29/2017,CVS/PHARMACY #02717,-8.15,Health&Wellness
04/10/2017,Payment Thank You-Mobile,30.69,Credit/Card Payment
03/17/2017,SUBWAY        03263019,-6.53,Restaurant
03/16/2017,SEAMLSSAMERICASBURGER,-24.16,Restaurant
02/21/2017,Payment Thank You-Mobile,67.29,Credit/Card Payment
02/11/2017,LA MAISON DU CHOCOLAT - M,-48.99,Restaurant
02/10/2017,MOTI MAHAL DELUXE,-18.3,Restaurant
02/10/2017,Payment Thank You-Mobile,308.55,Credit/Card Payment
02/08/2017,CAFE OLYMPIA 55,-8.27,Restaurant
01/31/2019,NM ONLINE,39.7,Shopping/Beauty
01/30/2019,MACYS  HERALD SQUARE,-21.76,Shopping/HomeGoods
01/26/2019,THE HOME DEPOT 6177,-15.31,Shopping/HomeGoods
01/27/2019,MADEWELL.COM,-35.99,Shopping/Clothes
01/27/2019,TWC*TIME WARNER NYC,-96.03,Bill/Mobile
01/24/2019,BED BATH &amp; BEYOND #361,-26.11,Shopping/HomeGoods
01/23/2019,JETBLUE     2792117944032,-196.6,Travel/Airfare
01/20/2019,AUTOMATIC PAYMENT - THANK,167.83,Credit/Card Payment
01/18/2019,Ultra Mobile,-31.82,Bill/Mobile
01/15/2019,Amazon.com*MB9L33GL0,-27.43,Shopping/Amazon
01/11/2019,NM ONLINE,-172.03,Shopping/Beauty
01/11/2019,PETCO 3746    63537468,-6.51,Pet
01/08/2019,DUANE READE #14465,-2.29,Health&Wellness
01/07/2019,Amazon.com*MB6BR0NA0,-32.35,Shopping/Amazon
01/07/2019,MUJI SOHO 2123342002,-39.2,Shopping/Clothes
01/03/2019,BED BATH &amp; BEYOND #361,10.88,Shopping/HomeGoods
12/28/2018,BED BATH &amp; BEYOND #361,-10.88,Shopping/HomeGoods
12/20/2018,BED BATH &amp; BEYOND #361,-6.52,Shopping/HomeGoods
12/20/2018,BED BATH &amp; BEYOND #361,-8.7,Shopping/HomeGoods
12/21/2018,MAG*MAGAZINES.COM,-12.0,Bill/Mobile
12/20/2018,T J MAXX #1185,-15.23,Shopping/HomeGoods
12/20/2018,AUTOMATIC PAYMENT - THANK,791.52,Credit/Card Payment
12/15/2018,STORAGE FOX OF LONG ISLAN,-51.45,Travel/RentalCar
12/16/2018,PETCO 3746    63537468,-19.22,Pet
12/09/2018,POPEYE'S #10765,-5.44,Restaurant
12/09/2018,USPS.COM MOVER'S GUIDE,-1.0,Bill/Utility
11/27/2018,SKINSTORE.COM,-59.15,Shopping/Beauty
11/20/2018,AUTOMATIC PAYMENT - THANK,251.56,Credit/Card Payment
11/11/2018,DOUGH ZONE,-24.0,Restaurant
11/13/2018,XI'AN NOODLES,-13.19,Restaurant
11/12/2018,FACING EAST RESTAURA,-23.0,Restaurant
11/03/2018,TRADER JOE'S #542  QPS,-8.28,Grocery
11/01/2018,ANNUAL MEMBERSHIP FEE,-95.0,Finance
10/30/2018,BUDGET RENT-A-CAR,-244.03,Travel/RentalCar
10/28/2018,KANG HODONG BAEKJEONG,-83.0,Restaurant
10/27/2018,NORTHERN CAFE,-23.0,Restaurant
10/26/2018,ABM ONSITE SVCS - PALADIO,-21.0,Travel/Parking
10/26/2018,RICHARD WALKERS SD,-27.0,Restaurant
10/25/2018,NORTHERN CAFE,-12.0,Restaurant
10/25/2018,TARGET        00002907,-2.45,Shopping/General
10/25/2018,TARGET        00002907,-6.16,Shopping/General
10/24/2018,PETCO 3746    63537468,-14.13,Pet
10/24/2018,CAFE OLYMPIA 55,-7.53,Restaurant
10/23/2018,TST* DOUGHNUT PLANT - LOW,-7.75,Restaurant
10/22/2018,FELINE HEALTH CLINIC,-180.0,Pet
10/22/2018,TRADER JOE'S #538 QPS,-7.0,Grocery
10/22/2018,LITTLE SHEEP MONGOLIAN HO,-15.0,Restaurant
10/20/2018,BREADS BAKERY,-3.85,Restaurant
10/21/2018,B CAFE,-41.0,Restaurant
